Time,Latitude,Longitude,Altitude,Speed,Bearing,Accuracy,beautiful,boring,depressing,lively,safety,wealthy,normalized_speed,Combined_Score
2020-01-02 15:05:08:587,30.55424938,114.4406479,13.05603027,1.93,184.1,3.216,28.469822,58.85676,57.347473,31.60443,29.870989,41.624367,53,36
2020-01-02 15:05:11:587,30.55419495,114.4406443,12.77770996,2.08,190,3.216,34.668774,62.88437,54.450592,34.82455,32.610962,45.938007,58,38
2020-01-02 15:05:13:585,30.55414924,114.4406378,12.67022705,2.64,182.2,3.216,28.375463,60.30229,62.106903,34.30282,32.3497,36.12187,73,35
2020-01-02 15:05:15:587,30.55410147,114.4406405,11.69696045,2.28,177.5,3.216,20.976364,58.36245,55.671734,31.214949,35.027542,34.52645,63,35
2020-01-02 15:05:17:584,30.55405364,114.4406455,11.30084229,2.66,179.4,3.216,27.71704,66.25814,63.815983,24.502392,34.00918,33.67653,74,32
2020-01-02 15:05:19:581,30.55400077,114.4406455,11.41760254,2.99,181.1,3.216,23.745806,64.21288,64.98132,30.790152,33.627815,34.10944,83,32
2020-01-02 15:05:21:587,30.55394517,114.4406467,11.07424927,2.98,176.9,3.216,33.11831,64.771324,56.652454,35.44251,36.37357,37.16135,83,37
2020-01-02 15:05:23:586,30.55389287,114.4406561,10.53463745,2.99,170.9,3.216,31.627823,61.06707,64.42399,30.792542,41.463676,39.00606,83,36
2020-01-02 15:05:25:584,30.55383697,114.4406657,9.927062988,3.07,172,3.216,27.621252,65.875046,58.25777,30.439386,37.613003,43.215954,85,36
2020-01-02 15:05:27:597,30.55379339,114.4406756,9.655670166,2.39,169.7,3.216,15.1870165,62.549976,63.20119,37.14974,36.38207,39.803978,66,34
2020-01-02 15:05:29:594,30.55372803,114.4406894,10.73196411,3.37,171.8,3.216,23.110846,55.59583,55.696007,41.224216,36.099964,37.608746,93,38
2020-01-02 15:05:31:591,30.553671,114.4407049,10.37802124,2.87,167.2,3.216,23.549858,58.704906,55.248985,36.573704,35.407154,39.80006,80,37
2020-01-02 15:05:33:615,30.55363102,114.4407167,10.46875,2.49,175.1,3.216,20.7335,59.133762,60.598915,28.44338,34.86455,26.757803,69,32
2020-01-02 15:05:35:626,30.55358008,114.4407251,10.00836182,2.87,169.4,3.216,19.204422,57.17099,57.07835,33.75839,26.421967,30.509953,80,33
