Time,Provider,Latitude,Longitude,Altitude,VerticalAccuracyMeters,Speed,SpeedAccuracyMetersPerSecond,Accuracy,Bearing,BearingAccuracyDegrees,beautiful,boring,depressing,lively,safety,wealthy,normalized_speed,Beautiful,Boring,Depressing,Lively,Safety,Wealthy,Combined_Score1
2019-12-29 13:35:13:170,gps,30.50532948,114.413115,31.9487915,36.5098114,0,0,42.85772705,0,0,30.904535,51.79829,41.564526,19.939169,28.955635,39.78837,0,56.54,65.4,42.02,50.3,43.1,42.1,38
2019-12-29 13:35:14:167,gps,30.50543208,114.4131217,30.87939453,24.48454666,0,0,27.92220497,0,0,28.229256,59.90272,50.561756,25.676298,31.462763,36.05151,0,55.14,69.78,42.48,48.96,41.38,41.16,35
2019-12-29 13:35:15:158,gps,30.50554606,114.4131222,30.18249512,18.40815735,0,0,20.5356617,0,0,32.013298,59.47982,50.422935,20.993471,30.18987,36.591072,0,55.1,59.18,44.82,49.28,42.98,45.26,35
2019-12-29 13:35:16:164,gps,30.50565807,114.4131287,28.4508667,12.1863451,13.60999966,7.89605618,16.49934387,5.5999999,4.89032793,32.30748,59.73469,49.504982,26.15695,34.358974,37.296883,196,54.48,67.48,47.9,51.9,43.9,46.92,37
2019-12-29 13:35:17:166,gps,30.50576719,114.4131325,27.25634766,11.13978672,13.86999989,7.45697641,13.90254593,4.0999999,4.81112003,32.13979,61.002193,46.62316,22.281258,30.414112,34.080276,200,53.22,66.9,41.94,42.78,41.5,40.22,35
2019-12-29 13:35:18:163,gps,30.50589843,114.4131464,26.9833374,9.62382507,14.39000034,7.09975338,11.16662788,5.0999999,4.65624475,30.530863,58.20725,44.382103,17.845545,29.756138,37.876736,207,54.66,67.5,38.92,40.86,41.04,42.32,36
2019-12-29 13:35:19:162,gps,30.50603211,114.4131592,27.16137695,8.53558731,14.68999958,6.74626541,9.42407417,5.4000001,4.56138802,33.263687,62.32081,49.80166,21.479467,34.718002,35.72344,211,54.14,65.86,42.26,46.72,38.08,44.24,36
2019-12-29 13:35:20:168,gps,30.50616606,114.4131707,27.62585449,8.36968613,14.81000042,6.42377615,8.97589684,5.69999981,4.51906443,39.19607,55.084713,54.662746,18.209871,33.973846,34.252575,213,54.18,63.3,43.2,46.68,41.7,43.4,36
2019-12-29 13:35:21:168,gps,30.50629962,114.413191,28.83319092,7.88747549,14.60000038,6.11367321,8.32248402,6.30000019,4.54654503,34.394512,59.130833,44.76987,16.885988,26.39838,36.503754,210,55.98,60.92,42.28,38.76,37.72,42.32,35
2019-12-29 13:35:22:172,gps,30.5064279,114.4132098,27.92510986,6.97695065,14.28999996,5.84452724,7.28738213,6.4000001,4.64441538,30.166265,57.70124,47.627956,26.74166,32.45896,31.362467,206,52.38,63.86,44.32,47.5,40.58,43.82,36
2019-12-29 13:35:23:163,gps,30.50654231,114.413225,27.96936035,6.35610008,13.31999969,5.6076107,6.60594034,6.5999999,4.98207951,27.859201,59.42541,44.682632,25.489641,29.304283,34.659065,192,54.22,62.34,42.98,48.48,39.92,43.26,36
2019-12-29 13:35:24:172,gps,30.50664508,114.4132332,28.19866943,5.76343155,11.77000046,5.39675808,5.97172022,6.69999981,5.63966131,32.773453,60.540325,46.77557,22.335598,24.801601,27.045261,169,52.36,63.66,40.66,42.32,39.84,40.18,33
2019-12-29 13:35:25:160,gps,30.50674083,114.4132502,28.53570557,5.17385721,10.81000042,5.19954824,5.35107565,7.19999981,6.13514328,28.622194,55.674397,53.568703,24.899557,31.72126,31.469099,156,54.14,62.72,42.4,45.06,43.06,42.6,35
2019-12-29 13:35:26:168,gps,30.50681571,114.4132579,27.33758545,4.90902138,9.69999981,5.01597452,5.07876444,7.30000019,6.84165478,31.343302,54.33196,49.787663,24.164179,30.774342,35.05482,140,53.88,58.92,43.42,47.32,42.8,43.14,36
2019-12-29 13:35:27:162,gps,30.50689233,114.4132623,27.24108887,4.63034773,8.64999962,4.84603977,4.7931695,7.5,7.67244196,32.851246,50.495457,47.09711,25.738403,27.122889,35.72592,124,52,63.38,42.34,35.96,31.84,41.84,37
2019-12-29 13:35:28:169,gps,30.50695828,114.4132807,27.48693848,4.67955828,7.61999989,4.68479443,4.82902718,8.80000019,8.66089535,30.460493,54.117744,46.518063,26.239717,26.542713,36.764656,110,54.9,63.18,39.54,38.56,32.2,41.64,37
2019-12-29 13:35:29:161,gps,30.50700759,114.4132872,27.9083252,4.2746129,5.96999979,4.56326628,4.41669464,9.5,33.75435257,32.688168,52.988575,49.669262,35.450245,28.262825,34.47606,86,56.88,62.56,37.06,41.26,31.92,40.26,38
2019-12-29 13:35:30:161,gps,30.50703663,114.413286,26.09735107,4.38281679,4.21000004,4.44668436,4.54064989,9.60000038,50.36664581,32.532047,52.576702,47.71199,35.51028,25.551437,34.962135,61,48.34,62.9,41.72,40.22,31.92,39.38,38
2019-12-29 13:35:31:165,gps,30.50704773,114.4132894,25.75994873,4.19254208,2.25,4.32140017,4.35109997,7.4000001,53.57368469,31.047224,52.317123,48.131046,33.56918,27.400444,33.44027,32,51.28,59.5,41.14,40.02,33,38.6,38
2019-12-29 13:35:32:168,gps,30.5070454,114.4132858,26.53430176,4.32246637,0.88,4.20481873,4.49655247,7.0999999,54.56114197,29.922497,51.162453,48.964428,34.185837,29.479795,33.756096,13,48.68,60.34,40.1,32.58,27.16,39.24,38
2019-12-29 13:35:33:162,gps,30.50704921,114.4132794,26.74249268,4.77237844,0.37,4.07953405,4.97352982,6.80000019,56.20282745,29.630472,52.56498,47.582504,31.258074,29.370724,32.833588,5,53.44,60.46,42.96,41.06,39.82,39.5,37
2019-12-29 13:35:34:168,gps,30.50705411,114.413285,26.61199951,4.48749542,0.50999999,3.97166204,4.68217039,7,58.83264542,29.473429,53.3377,48.176033,31.971478,30.332964,32.963467,7,48.46,59.24,40.7,40.68,30.14,39.04,37
2019-12-29 13:35:35:166,gps,30.50705294,114.4132839,25.74914551,4.95060635,0.2,3.8599999,5.17339754,7,60.27243042,29.082605,55.079315,48.62236,32.547176,29.316612,32.382603,3,48.42,61.28,40.28,36.9,30.96,40.06,37
2019-12-29 13:35:36:185,gps,30.50705086,114.4132754,26.11480713,4.91450739,0,0.3471311,5.10359001,0,0,27.028563,53.629963,48.16119,34.390743,32.285908,32.37348,0,49.52,60.48,40.86,41.28,30.16,39.36,37
2019-12-29 13:35:37:170,gps,30.50705606,114.4132769,27.11535645,4.85350609,0,0.14212671,10.55847454,0,0,27.839882,56.373577,50.097702,35.29917,30.552444,31.80338,0,47.3,59.68,40.92,34.48,28.62,37.76,37
2019-12-29 13:35:38:159,gps,30.5070566,114.4132767,28.19036865,5.18478584,0,0.14212671,10.73014927,0,0,28.989202,55.974545,50.532433,32.13906,31.618221,31.173393,0,47.28,60.3,41.32,33.3,28.52,37.4,36
2019-12-29 13:35:39:161,gps,30.50705756,114.4132755,28.74481201,6.04130125,0,0.14212671,11.16301441,0,0,28.80678,56.536144,50.70785,32.1912,31.222958,31.156816,0,48.14,66.54,41.4,33.78,30.26,37.3,36
2019-12-29 13:35:40:161,gps,30.50706393,114.4132799,29.84960938,6.12046909,0,0.14212671,11.21894836,0,0,28.984232,56.182858,50.30353,32.348225,31.345545,31.374575,0,48.82,66.24,41.82,39.46,40,38.16,36
2019-12-29 13:35:41:164,gps,30.50706432,114.4132766,30.15014648,5.81411743,0,0.12806249,11.06731415,0,0,29.160547,56.551216,50.08234,32.188213,31.092924,31.410975,0,48.5,65.92,41.96,39.54,40.06,37.76,36
2019-12-29 13:35:42:165,gps,30.50706436,114.41327,29.73510742,5.73189831,0,0.12806249,11.0317049,0,0,29.001326,57.020306,50.63863,32.754208,31.68647,31.581541,0,49.52,65.26,41.96,39.84,40.1,38.16,36
2019-12-29 13:35:43:168,gps,30.50706221,114.4132654,29.57751465,5.29174232,0,0.12806249,10.79617405,0,0,28.699432,56.93049,50.426773,32.35275,31.434486,31.36706,0,49.54,65.08,41.96,39.54,40.08,37.56,36
2019-12-29 13:35:44:180,gps,30.50706067,114.4132613,29.87506104,5.77061081,0,0.12041595,11.01745605,0,0,28.876757,56.784184,50.327877,32.578926,31.189884,31.303885,0,58.1,65.66,39.46,38.06,39.68,37.66,36
2019-12-29 13:35:45:169,gps,30.50706175,114.413265,30.30407715,5.58545637,0,0.12041595,10.91904545,0,0,28.651245,56.56545,50.26922,32.717964,31.67634,31.302198,0,57.54,64.6,40.02,39.14,39.68,37.86,36
2019-12-29 13:35:46:164,gps,30.50706343,114.4132663,30.10626221,5.43787909,0,0.12041595,10.83727551,0,0,29.049305,56.10143,49.081,33.056988,30.942524,31.91005,0,48.98,62.92,42,40.34,40.36,37.86,37
2019-12-29 13:35:47:166,gps,30.507063,114.4132697,29.95965576,5.03157425,0,0.12041595,10.6191864,0,0,28.79204,55.492176,49.34803,33.65117,32.857582,32.0696,0,48.42,65.88,41.76,39.26,40.32,37.52,37
2019-12-29 13:35:48:160,gps,30.50706032,114.4132697,28.77697754,5.23958063,0,0.11401755,10.71921062,0,0,29.220793,57.233574,50.810425,33.25929,31.052649,31.346512,0,57.5,65.46,39.54,40.8,41.38,38,36
2019-12-29 13:35:49:168,gps,30.50705889,114.4132663,28.14715576,5.4013257,0,0.11401755,10.79493046,0,0,29.365278,55.827625,50.205364,32.077084,30.967854,32.102127,0,57.22,59.2,38.2,43.6,40.62,37.44,36
2019-12-29 13:35:50:170,gps,30.50705708,114.4132664,28.21972656,5.28589535,0,0.11401755,10.72758579,0,0,29.737425,54.989536,50.764137,32.974743,32.51852,32.166664,0,55.84,61.52,40.8,41.74,40.26,37.54,37
2019-12-29 13:35:51:171,gps,30.50705364,114.4132691,28.04272461,6.2480073,0,0.11401755,11.19446373,0,0,29.973455,55.75548,46.705772,31.981873,33.283325,31.256607,0,56.76,65.74,39.72,38.68,39.96,37.86,37
